date	CIDE3140A_13282	CIDE3150B_26359	CIDE3151B_26360	CIDE3152B_26361	CIDE3153B_26362	CIDE3154A_23841	CIDE3160B_26363	CIDE3992_26364	CIDE4107_26365	CIDE4110_12350	CIDE4114_12347	CIDE4119_26366	CIDE4128_23845	CIDE4132_14211	CIDE4133_13827	CIDE4134_13828	CIDE4135_13829	CIDE4136_23846	CIDE4139_26367	CIDE4140_13830	CIDE4148_15420	CIDE4150_26368	CIDE4151_17523	CIDE4152_16079	CIDE4152_25935	CIDE4157_26369	CIDE4158_26370	CIDE4159_23635	CIDE4162_26371	CIDE4167_26372	CIDE4169_23117	CIDE4171_23654	CIDE4171_25961	CIDE4172_23852	CIDE4178_26373	CIDE4179_23859	CIDE4180_23860	CIDE4182_26374	CIDE4183_26375	CIDE4184_26376	CIDE4185_26377	CIDE4188_26378	CIDE4189_28572	CIDE5100_26379	CIDE5106_26380	CIDE5114_26381	CIDE5317_26384	CIDE5318_26385	CIDE5406_26386	CIDE5411_26387	CIDE6980_28571
1707271704	-1	18	49	56	47	56	34	0	0	23	17	2	0	3	0	3	11	2	16	30	30	0	22	1	7	0	0	0	0	-1	18	0	11	9	29	19	12	31	11	0	22	0	30	13	3	-6	9	9	17	-3	0
1707271720	-1	18	49	56	47	56	34	0	0	23	17	2	0	3	0	3	11	2	16	30	30	0	22	1	7	0	0	0	0	-1	18	0	11	9	29	19	12	31	11	0	22	0	30	13	3	-6	9	9	17	-3	0
1707271802	-1	18	49	56	47	57	34	0	0	23	17	2	0	3	0	3	11	0	16	30	30	0	22	1	7	0	0	0	0	-3	18	0	11	9	29	19	12	31	11	0	22	0	30	13	3	-6	9	9	17	-3	0
1707272002	-1	18	49	56	47	57	34	0	0	23	17	2	0	3	0	3	11	0	16	30	30	0	22	1	7	0	0	0	0	-3	18	0	11	9	29	19	12	31	11	0	22	0	30	13	3	-6	9	9	17	-3	0
1707272150	-1	18	49	56	47	57	34	0	0	23	17	2	0	3	0	3	11	0	16	30	30	0	22	1	7	0	0	0	0	-3	18	0	11	9	29	19	12	31	11	0	22	0	30	13	3	-6	9	9	17	-3	0
1707272237	-1	18	49	56	47	57	34	0	0	23	17	2	0	3	0	3	11	-1	16	29	30	0	22	1	7	0	0	0	0	-3	18	0	11	9	29	19	12	31	11	0	22	0	30	13	3	-6	9	7	17	-4	0
1707281100	-1	17	49	56	47	56	34	0	0	23	17	2	0	3	0	3	11	0	16	29	30	0	22	0	7	0	0	0	0	-3	18	0	11	9	29	18	12	31	11	0	22	0	30	13	3	-6	9	7	17	-4	0
1707281233	-1	17	49	56	47	56	33	0	0	23	17	2	0	3	0	3	11	-1	16	29	30	0	22	-1	7	0	0	0	0	-4	18	0	12	9	29	19	12	30	10	0	22	0	30	13	3	-6	9	7	17	-4	0
1707281457	-1	17	49	56	47	56	33	0	0	23	17	2	0	3	0	3	11	-1	16	29	30	0	23	-1	7	0	0	0	0	-4	18	0	12	9	29	20	12	30	10	0	22	0	30	13	3	-6	9	7	17	-4	0
1707281621	-1	17	50	56	47	56	33	0	0	23	17	2	0	3	0	3	11	-1	16	29	30	0	23	-1	7	0	0	0	0	-4	18	0	12	9	29	20	12	30	10	0	22	0	30	13	3	-6	9	7	17	-4	0
1707281911	-1	17	50	56	47	56	33	0	0	23	17	2	0	3	0	3	11	-1	15	29	30	0	23	-1	7	0	0	0	0	-4	18	0	12	9	29	20	12	30	0	0	22	0	30	14	3	-6	9	7	17	-4	0
