date	PSIC1016_24884	PSIC1018_27214	PSIC1019_24886	PSIC1020_27215	PSIC1021_27216	PSIC1022_24889	PSIC1024_24891	PSIC1025_27217	PSIC1026_27218	PSIC1027_27219	PSIC1030_27221	PSIC1110B_27222	PSIC1129B_27224	PSIC1130B_27225	PSIC1204_10438	PSIC1204_18771	PSIC1205_10439	PSIC1205_23328	PSIC1402_20993	PSIC1402_20995	PSIC1403_15098	PSIC2312_19697	PSIC2313_19698	PSIC2315_27226	PSIC2316_24902	PSIC2318_18186	PSIC2503_14103	PSIC2504_13262	PSIC2504_28344	PSIC2600_23329	PSIC2600_23330	PSIC2601_13263	PSIC2601_28347	PSIC2602_23331	PSIC2602_25788	PSIC2706_11420	PSIC2706_13336	PSIC2707_13264	PSIC2707_14071	PSIC2708_14070	PSIC3600_13445	PSIC3705_10442	PSIC3706_10440	PSIC3707_12069	PSIC3708_15154	PSIC3800_11540	PSIC3801_10649	PSIC3811_10650	PSIC3812_10651	PSIC3814_15093	PSIC3815_13700	PSIC3818_28592	PSIC3820_27227	PSIC3833_24905	PSIC3891_27228	PSIC3899_28591	PSIC3915_24916	PSIC3916_24917	PSIC3925_27230	PSIC3930_27232	PSIC3932_27233	PSIC3939_27234	PSIC3940_27235	PSIC3941_27236	PSIC3952_28590	PSIC3961_11077	PSIC3962_10441	PSIC4100_10170	PSIC4106_10171	PSIC4107_16001	PSIC4108_10355	PSIC4237_28727	PSIC4707_28728	PSIC4890_14124	PSIC4891_22376	PSIC6400_11189	PSIC6970_12070	PSIC6980_12071	PSIC6981_12072	PSIC6990_12566	PSIC6991_14110	PSIC6992_13693	PSIC6997_28544
1707252332	4	5	2	0	3	2	1	1	2	5	0	26	59	49	33	31	21	29	42	47	28	68	63	64	57	60	41	34	34	29	22	32	17	0	29	37	39	37	31	27	13	39	9	17	14	0	0	9	10	26	26	0	0	4	10	0	0	0	0	0	1	0	0	0	4	0	41	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707260820	4	5	2	0	3	2	1	1	1	5	0	18	58	48	33	28	19	27	42	43	28	66	56	59	54	54	30	25	21	24	15	31	11	0	20	36	39	37	29	19	13	39	9	15	14	0	0	9	9	26	26	0	0	3	10	0	0	1	0	0	0	0	0	0	1	0	26	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707261009	3	4	1	0	2	2	1	0	0	5	0	4	51	38	30	20	1	20	42	31	27	60	38	50	22	45	0	1	1	13	0	13	0	0	15	33	39	34	18	0	12	38	9	15	14	0	0	9	7	26	26	0	0	2	10	0	0	0	0	0	0	0	0	0	1	0	8	13	6	3	6	0	0	1	7	4	4	10	3	11	9	12	1
1707261047	3	4	1	0	2	2	1	0	0	5	0	3	50	34	30	19	0	15	42	24	27	56	37	46	16	39	0	0	0	13	0	6	0	0	15	30	39	33	12	0	12	38	9	15	14	0	0	9	7	26	26	0	0	3	10	0	0	0	0	0	0	0	0	0	1	0	8	13	6	3	6	0	0	1	7	4	4	9	3	10	9	12	1
1707261116	3	4	1	0	2	2	1	0	0	5	0	0	49	30	30	18	0	0	42	15	26	48	32	40	2	35	0	0	0	13	0	4	0	0	15	29	39	29	-1	0	12	38	9	15	14	0	0	8	7	26	26	0	0	4	10	0	0	0	0	0	0	0	0	1	1	0	8	13	6	3	6	0	0	1	7	4	4	9	3	10	9	12	1
1707261144	3	4	0	0	2	2	1	0	0	5	0	0	47	28	30	17	0	0	42	7	25	45	30	37	0	29	0	0	0	13	0	3	1	0	15	28	37	20	-1	0	12	38	9	15	14	0	0	8	7	26	26	0	0	4	10	0	0	0	0	0	0	0	0	1	1	0	8	13	6	3	6	0	0	1	7	4	4	9	3	10	9	12	1
1707261213	3	4	0	0	2	2	1	0	0	5	0	0	47	27	30	17	0	0	42	5	25	44	30	36	0	29	0	0	0	13	0	3	1	0	15	28	37	20	-1	0	12	38	9	15	14	0	0	8	7	26	26	0	0	4	10	0	0	0	0	0	0	0	0	1	1	0	8	13	6	3	6	0	0	1	7	4	4	9	3	10	9	12	1
1707261257	3	4	0	0	2	2	1	0	0	5	-1	0	46	27	30	17	0	0	42	5	25	44	29	35	0	29	0	0	0	13	0	3	1	0	15	28	37	20	-1	0	12	38	9	15	14	0	0	8	7	26	26	0	0	4	10	0	0	0	0	0	0	0	0	1	1	0	8	13	6	3	6	0	0	1	7	4	4	9	3	10	9	12	1
1707261315	3	4	0	0	2	2	1	0	0	5	-2	0	46	27	30	17	0	0	42	5	25	44	29	35	0	29	0	0	0	13	0	3	1	0	15	28	37	20	-1	0	12	38	9	15	14	0	0	8	7	26	26	0	0	4	10	0	0	0	0	0	0	0	0	1	1	0	8	13	6	3	5	0	0	1	6	4	4	9	3	10	9	12	1
1707261354	3	4	0	0	2	2	1	0	0	5	-2	0	46	27	29	18	0	0	42	5	25	44	29	34	0	29	0	0	0	13	0	4	0	0	15	28	37	20	-1	0	12	38	9	15	14	0	0	8	7	26	26	0	0	4	10	0	0	0	0	0	0	0	0	1	1	0	8	13	6	3	5	0	0	1	6	4	4	9	3	10	9	12	1
1707261538	2	4	0	0	2	2	1	0	0	5	-2	0	41	19	9	0	2	-2	42	0	24	38	12	28	0	1	0	0	0	13	0	4	0	0	15	5	26	16	-1	0	12	38	9	15	14	0	0	8	7	26	26	0	0	4	10	0	0	0	0	0	0	0	0	1	1	0	8	13	6	3	5	0	0	1	6	4	4	9	3	10	9	12	1
1707261603	2	4	0	0	2	2	1	0	0	5	-2	0	41	19	5	0	1	-2	42	0	24	39	10	28	0	0	0	0	0	13	0	4	0	0	15	2	23	16	-1	0	12	38	9	15	14	0	0	8	7	26	26	0	0	4	10	0	0	0	0	0	0	0	0	1	1	0	8	13	6	3	5	0	0	1	6	4	4	9	3	10	9	12	1
1707261646	2	4	0	0	2	2	1	0	0	5	-2	0	40	9	0	0	0	-2	33	6	24	34	6	24	0	0	0	0	0	12	0	3	0	0	15	0	17	13	-1	0	12	38	9	15	14	0	0	8	5	25	25	0	0	4	9	0	0	0	0	0	0	0	0	1	0	0	6	13	6	3	4	0	0	1	5	4	4	9	3	10	9	12	1
1707261709	2	4	0	0	2	2	1	0	0	5	-2	0	39	7	0	0	0	-2	32	2	24	34	6	23	0	0	0	0	0	12	0	3	0	0	15	0	17	13	-1	0	12	38	9	15	14	0	0	8	5	25	25	0	0	4	9	0	0	0	0	0	0	0	0	1	0	0	6	13	6	3	4	0	0	1	5	4	4	9	3	10	9	12	1
