date	MADM4001_27004	MADM4001_27337	MADM4001_27338	MADM4005_27005	MADM4005_27331	MADM4005_27332	MADM4051_27006	MADM4052_22491	MADM4052_22492	MADM4052_27329	MADM4052_27330	MADM4053_27007	MADM4053_27321	MADM4053_27343	MADM4053_27344	MADM4053_27345	MADM4053_27346	MADM4100_20293	MADM4103_27008	MADM4103_27322	MADM4103_27323	MADM4152_27009	MADM4152_27326	MADM4152_27327	MADM4153_27010	MADM4211_27011	MADM4211_27324	MADM4250_27012	MADM4250_27333	MADM4250_27334	MADM4251_27013	MADM4251_27335	MADM4251_27336	MADM4355_27014	MADM4355_27325	MADM4450_22489	MADM4450_27328	MADM4550_22470	MADM4551_22469	MADM4903_27015	MADM4903_27319	MADM4903_27339	MADM4903_27340	MADM4903_27341	MADM4903_27342	MADM4909_21140	MADM4918_27016	MADM4919_27017	MADM4920_27018	MADM4921_27019
1707252332	19	8	0	20	4	0	19	1	4	0	2	7	13	3	11	2	12	18	16	0	18	18	7	0	21	5	7	19	0	13	19	0	6	10	0	13	0	4	1	4	15	17	0	9	5	3	0	17	-3	5
1707260820	19	8	0	20	4	0	19	1	4	0	2	7	13	3	11	2	12	18	16	0	18	18	7	0	21	5	7	19	0	13	19	0	6	10	0	13	0	4	1	4	15	17	0	9	5	3	0	17	-3	5
1707261009	19	8	0	20	4	0	19	1	4	0	2	7	13	2	11	2	12	18	16	0	18	18	7	0	21	5	7	19	0	13	19	0	6	10	0	13	0	4	1	4	15	17	0	8	5	3	0	17	-3	5
1707261047	19	8	0	20	4	0	19	1	4	0	2	7	13	2	11	2	12	18	16	0	18	18	7	0	21	5	7	19	0	13	19	0	6	10	0	13	0	4	1	4	15	17	0	8	5	3	0	17	-3	5
1707261116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707261144	19	8	0	20	4	0	19	1	4	0	2	7	13	2	11	2	12	18	16	0	18	18	7	0	21	5	7	19	0	13	19	0	6	10	0	13	0	4	1	4	15	17	0	8	5	3	0	17	-3	5
1707261213	19	8	0	20	4	0	19	1	4	0	2	7	13	2	11	2	12	18	16	0	18	18	7	0	21	5	7	19	0	13	19	0	6	10	0	13	0	4	1	4	15	17	0	8	5	3	0	17	-3	5
1707261257	19	8	0	20	4	0	19	1	4	0	2	7	13	2	11	2	12	18	16	0	18	18	7	0	21	5	7	19	0	13	19	0	6	10	0	13	0	4	1	4	15	17	0	8	5	3	0	17	-3	5
1707261315	19	8	0	20	4	-1	19	1	4	0	2	7	13	2	11	2	12	18	16	0	18	18	7	0	21	5	7	19	0	13	19	0	6	10	0	13	0	2	-1	4	14	17	0	8	5	3	0	17	-5	5
1707261354	19	8	0	20	4	-1	19	1	4	0	2	7	13	1	10	0	10	18	16	0	18	18	6	0	21	5	7	19	0	13	19	0	6	10	0	13	0	2	-1	4	14	13	-1	8	5	3	0	17	-5	5
1707261538	19	8	0	20	4	-1	19	1	4	0	2	7	13	0	7	-1	9	18	16	0	18	18	6	0	21	6	7	19	0	13	19	-1	6	10	0	13	0	2	-1	4	14	8	-1	8	4	3	0	17	-5	5
1707261603	19	8	0	20	4	-1	19	1	4	0	2	6	13	0	7	-1	9	18	16	0	18	18	6	0	21	6	7	19	0	13	19	-1	6	10	0	13	0	2	-1	4	14	6	-1	8	4	3	0	17	-5	5
1707261646	19	8	0	20	4	-1	19	1	4	0	2	6	13	0	7	-1	9	18	16	0	18	18	6	-1	21	6	7	19	0	13	19	-1	6	10	0	13	0	2	-1	4	14	6	-1	8	4	3	0	17	-5	5
1707261709	18	8	0	19	4	-1	19	1	4	0	2	6	13	0	7	-1	9	17	15	0	18	17	6	-1	20	6	7	18	0	13	18	-1	6	10	0	13	0	2	-1	4	14	6	-1	8	4	3	0	17	-5	5
1707261733	18	8	0	19	4	-1	18	1	4	0	2	6	13	0	7	-1	9	17	15	0	18	17	6	-1	20	6	7	18	0	13	18	-1	6	10	0	13	0	2	-1	4	14	6	-1	8	4	3	0	17	-5	5
1707261807	18	8	0	19	4	-1	18	1	4	0	2	6	13	0	4	-1	8	17	15	0	18	17	6	-1	20	6	7	18	0	13	18	-2	6	10	0	13	0	2	-1	4	14	2	-1	8	4	3	0	17	-5	5
1707261822	18	8	0	19	4	-1	18	1	4	0	2	6	13	0	4	-1	8	17	15	0	18	17	6	-1	20	6	7	18	0	13	18	-2	6	10	0	13	0	2	-1	4	14	2	-1	8	4	3	0	17	-5	5
1707261842	18	7	0	19	2	-1	18	1	4	0	2	6	13	0	4	-1	7	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	8	4	3	0	17	-5	5
1707261903	18	7	0	19	2	-1	18	1	4	0	2	6	13	0	4	-1	7	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	8	4	3	0	17	-5	5
1707261944	18	7	0	19	2	-1	18	1	4	0	2	6	13	0	4	-1	6	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	8	3	3	0	17	-5	5
1707262004	18	7	0	19	2	-1	18	1	4	0	2	6	13	0	4	-1	6	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	8	3	3	0	17	-5	5
1707262107	18	7	0	19	2	-1	18	1	4	0	2	6	13	0	4	-1	6	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	8	3	3	0	17	-5	5
1707262125	18	7	0	19	2	-1	18	1	4	0	2	6	13	0	4	-1	6	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	8	3	3	0	17	-5	5
1707262142	18	7	0	19	2	-1	18	1	4	0	2	6	13	0	4	-1	6	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	8	3	3	0	17	-5	5
1707262337	18	7	0	19	2	-1	18	1	4	0	2	6	13	0	4	-1	6	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	8	3	3	0	17	-5	5
1707270001	18	7	0	19	2	-1	18	1	4	0	2	6	13	0	4	-1	6	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	8	3	3	0	17	-5	5
1707270737	18	7	0	19	1	-1	18	1	4	0	2	6	13	0	2	-1	5	17	15	0	18	17	6	-1	20	6	7	18	0	11	18	-2	5	10	0	13	0	2	-1	4	14	0	-1	7	2	3	0	17	-5	5
1707270816	18	7	0	19	1	-1	18	1	4	0	2	5	13	-1	2	-1	5	17	15	0	18	17	6	-1	20	6	7	18	0	10	18	-5	5	10	0	13	-1	2	-1	4	13	0	-1	7	2	3	0	16	-6	5
1707270840	18	7	0	19	1	-1	18	1	4	0	2	5	13	-1	2	-1	5	17	15	0	18	17	6	-1	20	6	7	18	0	10	18	-5	5	10	0	13	-1	2	-1	4	13	0	-1	7	2	3	0	16	-6	5
