date	HIST1101_12078	HIST1102_10079	HIST1417B_11546	HIST1605A_10600	HIST1706B_16151	HIST2101_28103	HIST2104_27497	HIST2202B_27829	HIST2204A_13418	HIST2204A_18530	HIST2205A_10632	HIST2300B_11222	HIST2303B_28020	HIST2305B_27754	HIST2333B_27771	HIST2406B_27743	HIST2412B_21787	HIST2420A_25632	HIST2420A_28736	HIST2422A_13109	HIST2500B_28351	HIST3101_10102	HIST3103_10974	HIST3104_12092	HIST3106_13419	HIST3400_28612	HIST3409_25629	HIST3513_28611	HIST3600_13157	HIST3990_15628	HIST3991_13420	HIST3992_13421	HIST3993_11314	HIST3996_28653	HIST3997_28654	HIST4705_12516	HIST4707_12519	HIST4709_11673	HIST4710_14125	HIST4800_25564	HIST4801_12524	HIST4802_11623	HIST4990_13797	HIST6007_21797	HIST6008_12048	HIST6970_12533	HIST6980_12534	HIST6981_12544	HIST6982_12545	HIST6983_12549	HIST6984_12550	HIST6985_12551	HIST6990_23570	HIST6997_21799
1707262004	0	0	6	0	64	0	1	0	0	0	32	9	-2	20	69	0	36	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	19	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707262107	0	0	7	0	63	0	1	0	0	0	32	9	-2	19	70	0	36	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707262125	0	1	7	0	63	0	1	0	0	0	32	9	-2	19	70	0	36	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707262142	0	1	7	0	63	0	1	0	0	0	32	9	-2	18	70	0	36	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707262337	0	1	6	0	64	0	1	0	0	1	32	9	-2	18	70	0	35	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707270001	0	1	6	0	64	0	1	0	0	1	32	9	-2	18	70	0	35	0	0	0	0	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707270737	0	1	6	0	64	0	1	0	0	0	33	9	-2	19	70	0	36	0	0	0	1	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707270816	0	1	6	0	64	0	1	0	0	0	33	9	-2	19	70	0	36	0	0	0	1	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707270840	0	1	6	0	64	0	1	0	0	0	33	9	-2	19	70	0	36	0	0	0	1	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707270903	0	1	6	0	64	0	1	0	0	0	33	9	-2	19	70	0	36	0	0	0	1	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707271009	0	1	5	0	64	0	1	0	0	0	33	9	-2	18	70	0	36	0	0	0	1	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
1707271027	0	1	5	0	64	0	1	0	0	0	33	9	-2	18	70	0	36	0	0	0	1	11	-1	8	10	0	2	0	10	10	10	9	5	0	0	19	18	62	15	15	23	19	15	2	8	8	14	13	13	13	12	14	5	0
