date	ANTR1001_26230	ANTR1101_10265	ANTR1104_11519	ANTR1104_11544	ANTR1105A_20115	ANTR1106B_17435	ANTR1118A_26231	ANTR1128A_26232	ANTR1130B_26233	ANTR1134B_21330	ANTR1135A_21331	ANTR1201_10266	ANTR1202B_26234	ANTR1203A_13368	ANTR1401_20854	ANTR2102_11520	ANTR2104_26235	ANTR2105_26236	ANTR2119_27372	ANTR2120_27371	ANTR2202_26237	ANTR2301_26238	ANTR3006_21135	ANTR3011_28362	ANTR3014_25997	ANTR3015_27957	ANTR3101_26245	ANTR3172_26246	ANTR3173_26247	ANTR3177_14177	ANTR3178_14178	ANTR3179_14179	ANTR3180_17445	ANTR3183_28734	ANTR3184_28726	ANTR3185_10673	ANTR3188_28735	ANTR3190_17446	ANTR3191_11522	ANTR3193_11523	ANTR3194_10103	ANTR3195_10104	ANTR3198_28652	ANTR3600_20122	ANTR3990_19146	ANTR3992_11467	ANTR3993_11524	ANTR4108_28548	ANTR4109_28547	ANTR4137_11163	ANTR4138_17449	ANTR4224_10675	ANTR4225_10268	ANTR4500_25566	ANTR4974_28647	ANTR4975_28648	ANTR4976_28649	ANTR4977_28650	ANTR4990_14000	ANTR6061_28545	ANTR6062_17452	ANTR6063_14019	ANTR6064_14005	ANTR6065_13586	ANTR6066_13587	ANTR6961_13588	ANTR6962_25569	ANTR6963_25570	ANTR6970_13591	ANTR6971_19151	ANTR6980_13592	ANTR6981_13593	ANTR6982_13594	ANTR6983_15180	ANTR6990_14939	ANTR6991_25353
1707261009	14	32	6	12	59	34	35	7	23	42	17	43	23	33	38	11	9	8	22	9	2	0	9	15	15	13	6	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	2	2	9	12	9	7	5	0	0	0	0	14	0	3	4	4	5	4	15	4	5	5	3	4	3	10	12	8	17
1707261047	14	27	5	9	58	29	32	7	22	40	13	40	19	30	35	7	8	7	22	9	0	0	9	15	15	13	6	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	2	2	9	12	9	7	5	0	0	0	0	14	0	3	4	4	5	4	15	4	5	5	3	4	3	10	11	8	17
1707261116	14	23	0	2	57	23	31	5	22	37	10	36	17	28	28	3	7	5	22	9	0	-1	9	15	15	13	4	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	1	2	9	12	9	7	5	0	0	0	0	14	0	3	4	4	5	4	15	4	5	5	3	4	3	10	11	8	17
1707261144	14	17	0	0	55	18	28	6	19	35	4	36	14	28	24	0	7	5	22	9	0	-1	7	15	15	13	4	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	1	2	9	12	9	7	5	0	0	0	0	14	0	3	4	4	5	4	15	4	5	5	3	4	3	10	11	8	17
1707261213	14	17	0	0	54	14	28	5	18	34	0	36	12	28	24	0	7	5	22	9	0	-1	7	14	15	13	4	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	1	2	9	12	9	7	5	0	0	0	0	14	0	3	4	4	5	4	15	4	5	5	3	4	3	10	11	8	17
1707261257	14	17	0	0	56	12	27	4	18	33	0	35	11	25	24	0	6	4	22	9	0	-1	6	14	15	13	2	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	1	2	9	12	9	7	5	0	0	0	0	14	0	3	4	4	5	4	15	4	5	5	3	4	3	10	11	8	17
1707261315	14	16	0	0	55	12	27	4	18	33	0	35	9	24	24	0	6	4	22	9	0	-1	6	14	15	13	2	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	1	2	9	12	9	7	5	0	0	0	0	14	0	3	4	4	5	4	15	4	5	5	3	4	3	10	11	8	17
1707261354	14	16	0	0	55	11	27	5	17	33	0	35	9	24	24	0	5	4	22	9	0	0	6	14	15	13	2	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	1	2	9	12	9	7	5	0	0	0	0	14	0	3	3	4	5	4	15	4	5	5	3	4	3	10	11	8	17
1707261538	14	4	0	0	50	0	19	0	13	18	1	13	0	13	14	1	5	4	22	9	0	0	6	14	15	13	2	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	1	2	9	12	9	7	5	0	0	0	0	14	0	3	3	4	5	4	14	4	5	5	3	4	3	10	11	8	16
1707261603	14	3	0	0	43	0	21	0	10	18	1	9	0	11	14	1	5	4	22	9	0	0	6	14	15	13	2	5	0	0	0	0	0	0	0	17	0	3	17	15	7	4	0	5	25	4	19	1	2	9	12	9	7	5	0	0	0	0	14	0	3	3	4	5	4	14	4	5	5	3	4	3	10	11	8	16
1707261646	14	0	0	0	31	0	13	0	9	9	0	1	0	0	7	0	0	0	20	5	-1	0	3	12	15	10	0	3	0	0	0	0	0	0	0	17	0	3	15	15	7	3	0	5	25	4	17	0	2	9	12	9	7	5	0	0	0	0	14	0	3	3	4	5	4	14	4	5	5	3	4	3	10	11	8	16
1707261709	14	0	0	0	28	0	11	0	8	9	0	1	0	0	7	0	0	0	19	5	-1	0	3	12	15	10	0	3	0	0	0	0	0	0	0	17	0	3	15	15	6	4	0	5	25	4	17	0	2	9	12	9	7	5	0	0	0	0	14	0	3	3	4	5	4	14	4	5	5	3	4	3	10	11	8	16
1707261733	14	0	0	0	26	0	10	0	5	6	0	1	0	0	7	0	0	0	19	5	-1	0	3	12	15	10	0	3	0	0	0	0	0	0	0	17	0	3	15	15	6	4	0	5	25	4	17	0	2	9	12	9	7	5	0	0	0	0	14	0	3	3	4	5	4	14	4	5	5	3	4	3	10	11	8	16
1707261807	14	0	0	0	25	0	10	0	6	4	0	1	0	1	7	0	0	0	19	5	-1	0	3	12	15	10	0	3	0	0	0	0	0	0	0	17	0	3	15	15	6	4	0	5	25	4	17	0	2	9	12	9	7	5	0	0	0	0	14	0	3	3	4	5	4	14	4	5	5	3	4	3	10	11	8	16
1707261822	14	0	0	0	25	0	9	0	6	3	0	1	0	1	7	0	0	0	19	5	-1	0	3	12	15	10	0	3	0	0	0	0	0	0	0	17	0	3	15	15	6	4	0	5	25	4	17	0	2	9	12	9	7	5	0	0	0	0	14	0	3	3	4	5	4	14	4	5	5	3	4	3	10	11	8	16
